Cat,Light,GBR,H2O,Average,Real
51.50097555,53.12174402,51.62973035,53.1373846,52.34745863,52.6
58.13076076,58.81198964,57.46004329,58.29475808,58.17438794,59.96
54.61108363,51.68355481,51.50437957,53.01584569,52.70371593,49.98
51.62691231,51.40038375,51.38112224,52.16539374,51.64345301,49.98
58.79036201,55.8801321,56.59561859,55.20627282,56.61809638,61.59
54.53142421,53.70725313,52.08120898,54.83379362,53.78841998,57.04
60.02740533,59.0615108,57.44568659,58.43301469,58.74190435,59.96
53.25988742,55.97151574,54.73806154,54.79452567,54.69099759,58.01
52.74477476,51.51326561,51.9122982,51.15355721,51.83097394,52.6
51.31692985,50.6632046,51.93844471,50.96951888,51.22202451,47.43
49.33778659,55.41019846,54.26173363,55.1984467,53.55204134,69.09
55.66022856,58.09660077,55.8629402,58.46830424,57.02201844,57.42
49.0737935,52.54571093,53.47481275,51.66314237,51.68936489,46.04
54.13046986,53.68059511,49.45410172,53.48659072,52.68793935,52.23
42.12911866,45.7993761,46.6107121,47.70972414,47.70972414,34.15
58.48242651,57.73320948,57.45472159,57.83912397,57.87737038,59.96
52.14158828,51.73202106,51.90115084,52.2763241,52.01277107,52.6
45.36691925,52.79904678,46.69934778,45.61507154,47.62009634,57.01
52.38729143,53.06427884,51.94854971,51.44646737,52.21164684,52.54
56.60391109,56.00964324,55.83557131,56.57895985,56.25702137,57.42
57.00271416,58.20636033,55.69261604,56.76917039,56.91771523,59.5
52.85413811,51.42727485,51.52755986,52.14424459,51.98830435,49.98
54.05793104,56.69123339,56.16489336,57.12429683,56.00958866,56.61
56.3321293,57.15310242,57.45517737,54.82141358,56.44045567,59.96
56.24595386,55.91110201,56.1597734,57.82308399,56.53497831,52.37
58.63494267,57.19533857,57.46824884,58.45722134,57.93893786,59.96
49.28270412,50.69083273,50.72207138,52.42689807,50.78062658,45.94
57.90387102,57.11819047,55.84144748,57.52876752,57.09806912,57.42
60.27734038,56.7987987,56.35264256,55.75646749,57.29631228,56.61
48.23792763,47.48631107,49.81748166,49.0449364,48.64666419,47.06
49.86980563,46.54406237,49.32333989,47.0194148,48.18915567,44.58
50.56540024,52.83900233,51.38276603,49.2570826,51.0110628,55.14
50.30126254,53.11094465,52.28372611,51.4690808,51.79125353,47.43
50.78480033,53.09387736,51.87646636,52.45179678,52.05173521,52.6
55.11102613,53.36728641,55.31701765,56.80308909,55.14960482,51.32
58.10755948,58.49017119,55.81476692,54.91261895,56.83127914,59.26
56.5723705,56.36066811,55.34120605,56.15464522,56.10722247,71.02
47.18047851,46.99295256,49.71404189,48.9402766,48.20693739,44.17
56.78574751,54.44864217,55.77841148,53.46974086,55.1206355,59.26
51.12828114,54.4495071,54.23904947,52.63106238,53.11197502,69.09
53.35642148,51.07642266,50.8621839,48.71367767,51.00217643,49.98
48.88398208,47.26849263,49.10807223,47.54747042,48.20200434,44.17
51.21829582,50.07828502,51.52263967,48.59386569,50.35327155,55.14
52.30151528,51.52937245,52.54701418,52.93264552,52.32763686,52.54
60.63544294,56.71505063,56.37340667,56.60757119,57.58286786,60.92
53.59850193,53.7860748,54.54899011,53.86228254,53.94896234,60.65
53.91571447,54.30292091,55.22213089,56.36234635,54.95077816,58.01
55.30347294,53.33909007,54.73938084,56.49454408,54.96912198,51.4
44.37458287,52.81804955,47.70114899,49.42071005,48.57862287,55.14
56.87436735,57.38439873,55.85035107,57.05882402,56.79198529,57.42
50.63601809,52.2944983,47.04748101,52.89700933,50.71875168,52.23
52.15019347,54.39399409,54.66038335,53.97455596,53.79478172,46.04
51.05752918,47.38444793,50.19925216,47.28238621,48.98090387,44.17
51.95664185,50.57033704,50.96896023,50.95776829,51.11342685,45.94
56.52542602,55.07915101,55.13906667,54.47507476,55.30467962,56.82
51.72692042,52.28492453,48.59671898,53.1774209,51.44649621,52.23
53.06396678,52.26561264,52.34133718,51.58689089,52.31445187,52.54
43.28064239,52.80506344,46.70167275,44.18356059,46.74273479,57.01
54.6298798,53.32922063,54.73558067,55.59354238,54.57205587,51.4
50.98303518,52.30842874,51.5411456,52.82537174,51.91449531,46.04
57.0263389,54.84310819,54.29500555,54.93561133,55.27501599,60.92
52.25728657,52.53998245,52.36274212,53.27643841,52.60911239,52.54
52.42033807,52.53998245,52.36274212,52.61856563,52.48540707,52.54
58.94030214,58.2728368,57.4449045,57.15466878,57.95317806,59.96
57.4667424,58.00978501,55.83462431,56.97017122,57.07033073,57.42
55.86666162,56.35831361,55.91424522,53.56606855,55.42632225,56.82
55.17332977,53.41232609,53.15102187,55.85560693,54.39807116,51.32
58.15014074,57.53661951,57.13247915,58.5587782,57.8445044,59.96
44.82496605,42.85819722,51.96044781,46.68087514,46.58112156,41.36
53.65133915,55.07724162,54.72957928,55.02999396,54.6220385,51.4
58.30593083,58.07941024,57.4571522,57.21580364,57.76457423,59.96
54.51065519,53.44907797,52.2156248,51.21158339,52.84673534,59.26
51.59479071,46.98607077,52.88076034,47.94914796,49.85269244,39.96
50.92975298,52.9145011,52.8580072,53.41510885,52.52934253,51.32
56.034578,57.33457304,55.85220383,57.75256176,56.74347916,57.42
50.45643095,51.78173496,51.42995729,53.32577655,51.74847494,52.16
59.28947183,59.6107093,57.45560567,57.6366292,58.498104,59.96
51.63841681,51.70895463,51.40030545,51.12608988,51.46844169,49.98
52.66399851,53.7021357,54.63236393,53.00944868,53.50198671,60.65
53.78589801,56.53171443,54.71197801,55.80628366,55.20896853,58.01
49.6038752,51.24730887,51.72182979,51.08032576,50.9133349,49.98
42.30870602,47.45592264,46.57429684,46.14178138,45.62017672,49.14
51.61133703,51.88510443,50.51410194,52.12392673,51.53361753,46.04
51.6034541,53.19688705,53.65080331,53.9257892,53.09423341,51.4
53.06140561,53.42894836,49.73712628,53.98402267,52.55287573,52.23
53.63412337,52.45512017,52.34762893,51.78268239,52.55488871,52.54
46.4512477,49.12651098,47.62937876,48.37251425,47.89491292,49.14
57.53502547,59.72449949,57.46805499,57.28399583,58.00289395,59.96
47.24155301,51.35999242,53.4696421,52.74834633,51.20488346,46.04
45.39310215,52.81171623,47.69871481,45.39599021,47.82488085,55.14
50.45498069,53.07371624,51.65677893,52.44756632,51.90826055,52.6
52.99901382,52.74455483,53.36994294,54.09402262,53.30188355,51.32
57.70591373,56.65871403,56.55625602,54.4626344,56.34587955,61.59
48.63174345,46.97302642,48.24801976,49.5209275,48.34342928,38.22
54.05829253,52.82099126,51.7561321,53.46532761,53.02518588,58.01
51.5417363,45.78581676,50.86478879,50.98358035,49.79398055,45.94
49.56784508,48.29663221,50.61084449,48.03985576,49.12879438,52.6
