XGB,Hist,Light,HistLight,All,Real
59.8033371,57.11136717,62.1577626,59.63456489,59.69082229,58.01
52.77550507,53.92170291,50.3968279,52.1592654,52.36467862,51.32
53.38166046,51.70407687,52.91458507,52.30933097,52.66677414,57.01
50.90632629,51.59561754,50.86356214,51.22958984,51.12183533,52.54
45.94035721,45.52426411,46.21752019,45.87089215,45.89404717,34.15
48.32732391,48.59330659,47.46840903,48.03085781,48.12967985,35.08
57.84833908,54.84895857,57.63781507,56.24338682,56.7783709,51.4
49.81176376,48.8580596,49.18439053,49.02122507,49.28473797,49.98
49.97988892,53.27584552,52.92140899,53.09862726,52.05904781,59.26
51.08919907,52.49730606,51.17977805,51.83854206,51.58876106,57.8
48.69098663,48.39120802,48.3732635,48.38223576,48.48515272,49.98
43.82857132,43.37843174,47.0543058,45.21636877,44.75376962,44.17
59.99654388,59.6021596,58.43322879,59.01769419,59.34397742,59.96
59.27277374,59.74512346,60.57342218,60.15927282,59.86377313,59.96
47.88912201,45.46001609,47.39494411,46.4274801,46.91469407,47.06
50.67305374,50.25592815,48.84202491,49.54897653,49.92366894,52.54
59.02349091,59.74721238,60.56423882,60.1557256,59.77831403,59.96
55.2078743,59.40878158,60.42023304,59.91450731,58.34562964,59.96
54.77478027,59.46522547,60.5932641,60.02924479,58.27775662,59.96
52.84276581,54.43111601,54.18663322,54.30887461,53.82017168,49.98
48.98670578,47.07662733,47.2185209,47.14757411,47.760618,45.94
50.91801453,53.06108132,53.29381142,53.17744637,52.42430242,55.14
44.22072983,44.1767521,44.43571791,44.30623501,44.27773328,44.58
48.65830994,47.44791302,49.16438247,48.30614774,48.42353514,45.94
52.01705551,53.13371686,51.09919581,52.11645634,52.08332273,52.6
59.91714859,60.28174762,59.97806459,60.12990611,60.05898693,59.96
56.85285568,54.23902418,51.58386667,52.91144542,54.22524884,59.26
60.00226593,60.3338326,59.26995353,59.80189307,59.86868402,59.96
53.09956741,52.4972983,53.602223,53.04976065,53.06636291,57.01
43.38336182,43.32584089,44.7055845,44.0157127,43.80492907,44.17
52.71506119,53.20604022,53.06868653,53.13736337,52.99659598,52.23
52.80688095,52.53492789,52.42933647,52.48213218,52.59038177,52.54
40.72743607,43.50725039,45.14702549,44.32713794,43.12723732,38.22
51.15348053,50.81714285,49.59650152,50.20682218,50.52237496,49.98
41.14864731,42.39966846,40.27781603,41.33874224,41.27537727,45.94
50.71097183,51.3530917,54.04292531,52.6980085,52.03566295,46.04
58.97338867,59.71382909,60.72810552,60.22096731,59.80510776,59.96
47.51634216,48.02494707,48.31552612,48.17023659,47.95227178,46.04
46.14414597,45.57135851,46.44873482,46.01004666,46.05474643,46.04
46.83179855,49.42063031,46.77584725,48.09823878,47.67609204,46.04
55.44035721,50.76246637,55.63653315,53.19949976,53.94645224,51.32
56.10314178,57.04833823,56.97946417,57.0139012,56.71031473,51.4
54.8283577,53.55030413,57.94158016,55.74594214,55.44008066,59.5
49.56738281,51.27511518,49.09735818,50.18623668,49.97995206,52.54
58.69514847,60.81999764,63.81660557,62.31830161,61.11058389,57.42
51.159729,49.33431051,51.14023684,50.23727368,50.54475879,46.04
47.92816544,47.50045024,46.73452884,47.11748954,47.38771484,45.94
42.26762772,44.02655112,40.99434277,42.51044694,42.4295072,38.22
61.36750412,59.0638958,61.227334,60.1456149,60.55291131,60.92
46.83692932,44.85491935,44.61450609,44.73471272,45.43545159,44.17
44.9250145,43.58576424,46.00236593,44.79406509,44.83771489,38.22
51.07036972,50.2735545,48.99007579,49.63181515,50.11133334,52.6
48.64782333,49.98358728,48.41921385,49.20140057,49.01687482,46.04
46.32065201,44.0273125,44.74105545,44.38418397,45.02967332,34.15
58.67881775,59.40663539,59.40127294,59.40395416,59.16224203,59.96
60.29362106,58.18652121,58.12145128,58.15398625,58.86719785,51.32
49.22512054,47.69028471,48.97683086,48.33355779,48.63074537,49.98
56.92319489,56.68195368,56.43345654,56.55770511,56.67953504,56.61
54.82260513,59.33994803,59.85175455,59.59585129,58.00476924,56.61
47.35248566,45.84867741,45.55178855,45.70023298,46.25098387,39.96
51.67166519,51.68454292,50.40772714,51.04613503,51.25464508,52.6
52.38964844,54.91183246,51.84783699,53.37983472,53.04977263,52.54
58.21683884,57.20627572,58.73713923,57.97170748,58.05341793,56.82
55.27124786,56.51407148,55.90442791,56.20924969,55.89658242,56.61
59.22900009,59.65920447,60.40076159,60.02998303,59.76298872,59.96
